"Year","Lag1","Lag2","Lag3","Lag4","Lag5","Volume","Today","Direction"
2000,0.748,2.626,0.282,-1.134,1.177,0.574918,-1.891,"Down"
2000,-1.891,0.748,2.626,0.282,-1.134,1.06876,1.643,"Up"
2000,1.643,-1.891,0.748,2.626,0.282,1.03394,-1.624,"Down"
2000,-1.624,1.643,-1.891,0.748,2.626,1.11375,-5.634,"Down"
2000,-5.634,-1.624,1.643,-1.891,0.748,1.10642,4.721,"Up"
2000,4.721,-5.634,-1.624,1.643,-1.891,1.041,-2.615,"Down"
2000,-2.615,4.721,-5.634,-1.624,1.643,1.02016,-2.958,"Down"
2000,-2.958,-2.615,4.721,-5.634,-1.624,1.02306,-0.946,"Down"
2000,-0.946,-2.958,-2.615,4.721,-5.634,1.063475,5.686,"Up"
2000,5.686,-0.946,-2.958,-2.615,4.721,1.17076,-1.001,"Down"
2000,-1.001,5.686,-0.946,-2.958,-2.615,1.16158,4.975,"Up"
2000,4.975,-1.001,5.686,-0.946,-2.958,1.23806,4.301,"Up"
2000,4.301,4.975,-1.001,5.686,-0.946,1.03844,-1.891,"Down"
2000,-1.891,4.301,4.975,-1.001,5.686,1.06856,1.186,"Up"
2000,1.186,-1.891,4.301,4.975,-1.001,1.109412,-10.538,"Down"
2000,-10.538,1.186,-1.891,4.301,4.975,1.06254,5.748,"Up"
2000,5.748,-10.538,1.186,-1.891,4.301,1.052925,1.247,"Up"
2000,1.247,5.748,-10.538,1.186,-1.891,1.007,-1.363,"Down"
2000,-1.363,1.247,5.748,-10.538,1.186,0.94014,-0.815,"Down"
2000,-0.815,-1.363,1.247,5.748,-10.538,0.90048,-0.986,"Down"
2000,-0.986,-0.815,-1.363,1.247,5.748,0.85844,-2.056,"Down"
2000,-2.056,-0.986,-0.815,-1.363,1.247,0.91966,7.202,"Up"
2000,7.202,-2.056,-0.986,-0.815,-1.363,0.9818,-1.375,"Down"
2000,-1.375,7.202,-2.056,-0.986,-0.815,0.85672,0.515,"Up"
2000,0.515,-1.375,7.202,-2.056,-0.986,0.98038,-1.569,"Down"
2000,-1.569,0.515,-1.375,7.202,-2.056,0.96662,0.91,"Up"
2000,0.91,-1.569,0.515,-1.375,7.202,1.11944,1.671,"Up"
2000,1.671,0.91,-1.569,0.515,-1.375,0.83755,2.102,"Up"
2000,2.102,1.671,0.91,-1.569,0.515,0.96156,-1.973,"Down"
2000,-1.973,2.102,1.671,0.91,-1.569,0.95132,-4.074,"Down"
2000,-4.074,-1.973,2.102,1.671,0.91,1.04438,3.031,"Up"
